0.9 ,	1.491
1	   , 1.483
1.1	  , 1.476
1.2 	, 1.467
1.3	  , 1.458
1.4	  , 1.451
1.5	  , 1.44
1.6	  , 1.433
1.7	  , 1.425
1.8	  , 1.418
1.9	  , 1.411
2   	, 1.405
2.1	  , 1.398
2.2	  , 1.394
2.3	  , 1.387
2.4	  , 1.382
2.5	  , 1.376
2.6	  , 1.372
2.7	  , 1.368
2.8	  , 1.364
2.9	  , 1.361
3	    , 1.359
3.1	  , 1.358
3.2	  , 1.356
3.3	  , 1.355
3.4	  , 1.354
3.5	  , 1.354
3.6	  , 1.354
3.7	  , 1.355
3.8	  , 1.357
3.9	  , 1.359
4	    , 1.361
4.1	  , 1.364
4.2	  , 1.367
4.3	  , 1.372
4.4	  , 1.375
4.5	  , 1.38
4.6	  , 1.385
4.7	  , 1.391
4.8	  , 1.396
4.9	  , 1.403
5	    , 1.41
5.1	  , 1.417
5.2	  , 1.424
5.3	  , 1.432
5.4	  , 1.44
5.5	  , 1.448
5.6	  , 1.458
5.7	  , 1.465
5.8	  , 1.472
5.9	  , 1.486
6	    , 1.491
6.1	  , 1.499
6.2	  , 1.507
6.3	  , 1.517
6.4	  , 1.525
11.8	, 1.251
12	  , 1.208
12.5	, 1.117
13	  , 1.017
13.5	, 0.923
14	  , 0.836
14.5	, 0.756
15	  , 0.683
15.5	, 0.62
16	  , 0.556
16.5	, 0.506
17	  , 0.458
17.5	, 0.418
18	  , 0.372
18.5	, 0.341
19	  , 0.322
